key_title,key_rdate,key_cont
"기재부, 외환법 개편 추진...""가상자산 지급 수단 인정""",2022.07.01 18:34,정부가 규제 완화 차원에서 외국환거래법을 전면 손질한다. 기획재정부(기재부)는 '거래의 자유'에 초점을 맞춘 신외환법을 마련하고 ▲향후 가상자산(암호화폐...
"하나증권, 새 간판 달고 재도약…""고객 가치 소중히 여겨""",2022.07.01 15:24,하나금융투자가 1일부터 공식적으로 사명을 '하나증권'으로 변경했다고 밝혔다. 하나증권은 지난달 24일 주주총회를 통해 이달부터 사명을 기존...
"증권사 '매도' 의견 충격 컸나…카뱅, 장중 3만원 붕괴",2022.07.01 10:33,카카오뱅크 주가가 장중 3만원 아래로 내려갔다. 최근 증권가에서 카카오뱅크에 대해 사실상 '매도' 의견이 나오면서 주가를 끌어내린 것으로 ...
"증권사 '매도' 의견 충격 컸나…카뱅, 장중 3만원 붕괴",2022.07.01 10:33,카카오뱅크 주가가 장중 3만원 아래로 내려갔다. 최근 증권가에서 카카오뱅크에 대해 사실상 '매도' 의견이 나오면서 주가를 끌어내린 것으로 ...
급락한 LG엔솔에 2차전지株 '와르르',2022.06.30 17:43,2차전지 관련주가 급락했다. LG에너지솔루션이 미국 공장 투자를 재검토한다는 소식이 영향을 미쳤다. 30일 LG에너지솔루션은 5.24% 떨어진 37만1000원에 장을 마쳤다. 전날...
" 원/달러 환율 0.6원 내린 1,298.4원(마감)",2022.06.30 15:31,/연합뉴스
"""물가 올라도 편의점은 간다""...실적개선 전망에 강세",2022.06.30 09:33,BGF리테일이 인플레이션 수혜로 인해 2분기 실적이 개선될 것이라는 증권가 전망에 주가는 장 초반 상승세를 보이고 있다. 30일 9시 19분 현재 BGF...
美 1분기 GDP 1.6% 하락…PCE 물가 지수는 7.1%↑,2022.06.29 22:21,미국 1분기 국내총생산(GDP)가 1.6% 하락한 것으로 나타났다. 29일(현지시간) 미국 경제 분석국이 발표한 GDP '3차 측정치(확정치) 보고서'에...
"지니너스, 주당 2.0주 무상증자 결정",2022.06.29 13:32,코스닥 상장사 지니너스는 보통주식 1주당 2.0주를 배정하는 무상증자를 결정했다고 29일 공시했다. 신주 배정기준일은 다음달 14일이고 상장 예정일은 다음달 29일이다. ※ 이 기...
"'철옹성' 깬 미르M…위메이드맥스, 8%대 '급등'",2022.06.29 09:16,"위메이드의 신작 모바일 MMORPG '미르M'의 흥행에 위메이드맥스의 주가가 강세다. 29일 오전 9시 4분 현재 위메이드맥스는 전 거래일보다 1,500..."
" 원숭이두창 테마, 진단키트株도 삼켰다",2022.06.28 16:09,"한경라씨로는 인공지능(AI) 알고리즘을 기반으로 상장 종목들의 시세, 수급, 시황 등을 분석합니다. ' 한경라씨로 ' 앱을 내려 받으면 매..."
" 하이브, 보호예수 만료 앞두고 약세",2022.06.28 10:02,"한경라씨로는 인공지능(AI) 알고리즘을 기반으로 상장 종목들의 시세, 수급, 시황 등을 분석합니다. ' 한경라씨로 ' 앱을 내려 받으면 매..."
" 원/달러 환율 1,286.5원 보합(개장)",2022.06.28 09:00,/연합뉴스
 바이오 호재 쏟아졌는데…업종지수는 '비실',2022.06.27 15:52,"한경라씨로는 인공지능(AI) 알고리즘을 기반으로 상장 종목들의 시세, 수급, 시황 등을 분석합니다. ' 한경라씨로 ' 앱을 내려 받으면 매..."
"코스닥 상장 앞둔 에이치피에스피 ""고압 어닐링 기술로 첨단시장 선도할 것""",2022.06.27 10:32,코스닥 상장을 앞둔 에이치피에스피(HPSP)가 세계 유일 고압 어닐링 기술로 첨단시장을 선도하겠다고 밝혔다. 김용운 에이치피에스피 대표이사는 27일 진행...
"""전기요금 인상안 오늘 발표""...한전 개장초 강세",2022.06.27 09:19,한국전력이 전기요금 인상안 발표 기대감에 강세다. 27일 오전 9시9분 현재 한전은 전 거래일보다 400원(1.78%)오른 22만900원에 거래되고 있다...
코로나19 위기 탈출하나 했더니…'3高'에 발목 잡힌 항공업계,2022.06.26 06:32,"항공사, 유가·환율·금리 오르면 손실…재무적 부담 증가 원화 약세·항공권 가격 급등에 여행 심리 위축 우려도 신종 코로나바이러스 감염증(코로나19) 사태..."
(마감)코스피 외국인 320억 순매도,2022.06.24 15:37,한경닷컴
"""삼성SDI와 8.5조 공급 계약'…일진머티리얼즈 급등세",2022.06.24 09:39,삼성SDI와 이차전지용 일렉포일 공급 계약을 체결한 일진머티리얼즈가 급등세를 보이고 있다. 24일 오전 9시 27분 현재 일진머티리얼즈는 전거래일대비 7...
"전경련 ""글로벌 ESG 공시 기준 우리 기업에 과도한 부담 우려""",2022.06.24 06:00,K-ESG 얼라이언스 위원사 대상 IFRS 지속가능성 공시 기준 초안 의견 수렴 최근 추진되고 있는 글로벌 ESG(환경·사회·지배구조) 공시 기준이 우리...
"FSN ""자회사 FSN 아시아, '2022 APAC 톱10 디지털 마케팅 기업' 선정""",2022.06.23 14:59,코스닥 상장사 FSN은 자회사 FSN 아시아(FSN ASIA)가 '마테크 아웃룩'(MarTech Outlook)이 선정한 2022 아시아-...
"""설마 5만전자 갈까""…외인 던진 3조 받아낸 개미들 피눈물",2022.06.23 10:06,"외국인 매도세가 삼성전자에 집중됐다. 개인이 외국인과 기관이 내던지는 삼성전자 물량을 모두 받아냈지만, 이달 초 6만원대 중반이던 주가는 5만원대에 눌러..."
"원/달러 환율, 장중 1300원 터치…약 13년만",2022.06.23 09:11,"23일 원/달러 환율이 12년 11개월여 만에 처음으로 1,300원을 터치했다. 이날 서울 외환시장에서 오전 9시 9분 달러 대비 원화 환율은 전날보다 2.7원 오른 1,300원이..."
"테더, 영국 파운드화 기반 스테이블 코인 'GBPT' 공개",2022.06.22 16:43,테더(Tether)가 영국 파운드화에 고정된 새로운 스테이블 코인을 출시하겠다고 밝혔다. 22일(현지시간) 가상자산(암호화페) 전문 미디어 더블록(The...
"삼성중공업, 5543억 규모 LNG선 공사 수주[주목 e공시]",2022.06.22 10:04,삼성중공업은 아프리카 지역 선주로부터 5543억원 규모의 LNG선 2척 공사를 수주했다고 22일 공시했다. 계약금액은 최근 매출의 8.4%에 해당한다. ...
"""분상제 개편안, 추가 대책 미흡…시장 반응 냉담""",2022.06.22 09:25,"정부의 분양가상한제 개편안이 예상 수준에 부합했으나 건설사 입장에선 다소 아쉽다는 평가가 22일 나왔다. 정부는 전일인 21일 주거이전비, 명도소송비, ..."
