일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-03-12,1834.33,-73.94,-3.87,1887.97,1897.23,1808.56,850345.0,11309953.0,1235351152.0
2020-03-13,1771.44,-62.89,-3.43,1722.68,1809.31,1680.6,1035278.0,13376938.0,1193686837.0
2020-03-16,1714.86,-56.58,-3.19,1805.43,1805.43,1714.38,682004.0,8593833.0,1155216111.0
2020-03-17,1672.44,-42.42,-2.47,1640.84,1722.97,1637.88,649779.0,9709077.0,1126202984.0
2020-03-18,1591.2,-81.24,-4.86,1686.12,1693.95,1591.12,728008.0,9576387.0,1071788837.0
2020-03-19,1457.64,-133.56,-8.39,1626.09,1626.09,1439.43,977675.0,11932492.0,982169749.0
2020-03-20,1566.15,108.51,7.44,1498.49,1566.82,1466.48,817021.0,10632970.0,1054892888.0
2020-03-23,1482.46,-83.69,-5.34,1474.45,1516.75,1458.41,647528.0,9645272.0,998450498.0
2020-03-24,1609.97,127.51,8.6,1523.69,1609.97,1508.68,679288.0,10481448.0,1083695461.0
2020-03-25,1704.76,94.79,5.89,1668.19,1707.64,1645.28,872809.0,12612288.0,1147712135.0
2020-03-26,1686.24,-18.52,-1.09,1699.11,1735.75,1679.23,992474.0,12374198.0,1135741554.0
2020-03-27,1717.73,31.49,1.87,1756.07,1759.05,1668.21,1077527.0,12851933.0,1156581472.0
2020-03-30,1717.12,-0.61,-0.04,1670.34,1729.63,1659.95,767777.0,9081050.0,1155630477.0
2020-03-31,1754.64,37.52,2.19,1739.29,1757.81,1722.62,1037488.0,13905369.0,1179728723.0
2020-04-01,1685.46,-69.18,-3.94,1737.28,1762.44,1685.37,1243591.0,12110507.0,1133944054.0
2020-04-02,1724.86,39.4,2.34,1693.53,1726.76,1664.13,766313.0,10152245.0,1159987256.0
2020-04-03,1725.44,0.58,0.03,1731.17,1743.91,1706.68,1000087.0,10153714.0,1160743273.0
2020-04-06,1791.88,66.44,3.85,1745.25,1794.19,1742.67,1219389.0,10957483.0,1205000552.0
2020-04-07,1823.6,31.72,1.77,1826.72,1838.97,1791.92,951739.0,11628936.0,1226518732.0
2020-04-08,1807.14,-16.46,-0.9,1815.75,1842.16,1801.8,907494.0,11126542.0,1215858624.0
2020-04-09,1836.21,29.07,1.61,1838.09,1839.33,1818.3,920571.0,10517359.0,1235327684.0
2020-04-10,1860.7,24.49,1.33,1835.76,1861.1,1824.43,992548.0,12009989.0,1251445975.0
2020-04-13,1825.76,-34.94,-1.88,1853.3,1853.3,1825.76,1017752.0,9516704.0,1228226158.0
