key_title,key_rdate,key_cont
"'집콕 성탄'에는 주식공부…삼성증권 ""애널산타가 찾아옵니다""",2020.12.17 15:00,삼성증권 대표 애널리스트들이 성탄절을 앞둔 오는 19일 해외주식 언택트 컨퍼런스를 개최한다. 3시간의 라이브 방송을 통해 2021년 글로벌 증시 전망과 ...
"""IT·콘텐츠·게임株가 내년 증시 주도""",2020.12.16 17:30,"IT기술주와 콘텐츠 및 게임 산업이 내년 증시를 주도할 것이라는 전망이 등장했다. 주요 투자테마의 거래대금 비중과 이익 전망, 시장 기대치 등을 분석한 결과다. 신한금융투자는 16..."
"코스피, 美 부양책 기대감에 상승…""중소형 종목군 주목""",2020.12.16 09:14,코스피지수가 장 초반 상승세를 보이고 있다. 미국의 경기 부양책 타결 기대감과 신종 코로나바이러스 감염증(코로나19) 백신 관련 긍정적인 소식이 영향을 ...
"종근당바이오, 코로나19 치료제 개발 기대감에 급등 '신고가'",2020.12.15 10:41,종근당바이오가 신종 코로나바이러스 감염증(코로나19) 치료제 개발 기대감에 급등 중이다. 15일 오전 10시36분 현재 종근당바이오는 전날보다 1만500...
(마감)코스피 외국인 3681억 순매도,2020.12.14 15:34,한경닷컴
 (11일) 코닉글로리 등,2020.12.12 02:16,▲코닉글로리=소송 제기로 전환사채 발행 추진하지 않기로 결정. ▲일진파워=325억원 규모 인천 국제공항 2터미널 확장 전기공사 수주. ▲프럼파스트=주당 50원 배당 결정. ▲홈센타...
정유株 '방긋'…국제유가 급등,2020.12.11 09:10,정유주가 상승하고 있다. 신종 코로나바이러스 감염증(코로나19) 백신 기대감에 국제유가가 급등하면서다. 11일 오전 9시5분 현재 S-Oil은 전날보다 ...
(마감)코스피 외국인 13637억 순매도,2020.12.10 15:35,한경닷컴
"넥스트아이 ""모트뷰티바이오사모투자합자회사에 238억원 출자""",2020.12.09 18:41,코스닥 상장사 넥스트아이는 경영참여형 사모투자업체 모트뷰티바이오사모투자합자회사에 약 238억원을 출자한다고 9일 공시했다. 출자 후 넥스트아이의 모트뷰티바이오사모투자합자회사 지분율...
'겨울 보너스' 배당 막차 타볼까…올해는 '○○'도 따져봐야[이슈+],2020.12.09 11:41,연말이 되면 배당주를 통해 안정적으로 한 해를 마무리하라는 증시 전문가들의 조언이 많아진다. 다만 전문가들은 아무 때나 배당주를 사기보다는 시기적절하게 ...
닷새만에 139% 수익률 1위 등극…'가상자산 투자전쟁' 빗썸x한경 실전투자대회,2020.12.08 16:59,국내에서 처음으로 가상자산(암호화폐) 거래소와 언론사가 공동 주최하는 투자대회인 '빗썸x한경 가상자산 실전투자대회'에서 닉네임 '잡...
"2차전지株, 또 오른다…삼성SDI 4%대 급등",2020.12.08 09:27,2차전지 관련주(株)가 동반 상승하고 있다. 간밤 뉴욕증시에서 전기차 관련 종목들이 큰 폭으로 오르면서 투자심리가 개선된 것으로 풀이된다. 8일 오전 9...
(마감)코스피 외국인 915억 순매도,2020.12.07 15:35,한경닷컴
"""블록체인 내년 최대 화두는 디지털화폐 실험""",2020.12.06 17:39,"“내년에는 가상화폐 거래소 설립 기준이 적용되고, 과세 불확실성도 해소된다. 금융과 결합한 블록체인 기술이 예상보다 훨씬 빠르게 우리 일상생활..."
 원·달러 환율 1080원대 진입…1082.1원 마감,2020.12.04 15:31,4일 원·달러 환율이 1008원대에 진입했다. 2018년 6월12일(1077.2원) 이후 2년 6개월 만에 최저치다. 이날 서울 외환시장에서...
삼성전자 '7만전자' 터치,2020.12.03 17:46,삼성전자 주가가 사상 처음 7만원대에 올라섰다. D램 가격이 조기에 회복될 것이란 전망과 내년 파운드리(수탁생산) 사업에 대한 기대가 겹친 영향이다. 삼...
"미래에셋대우, 족쇄 풀리자 목표가 줄상향…1조 이익 전망까지[분석+]",2020.12.03 11:49,미래에셋대우가 중국 안방보험과의 소송에서 승소하면서 증권가의 목표주가 상향 조정이 잇따르고 있다. 불확실성 해소된데다 증시 활황으로 증권업계 최초로 연간...
